host	n_obs_alone	n_obs_with_par	n_obs_tot	known_plant	selection_test_01	phylum	class	order	family	subfamily	tribe	genus	n_in_10_best_march_2019	n_obs_with_col_event	n_col_event
elaeognatha_argyritis	51	18	69	0	n	Arthropoda	Insecta	Lepidoptera	Nolidae	Eligminae	NA	Elaeognatha	NA	33	30
elasmia_mandela	90	61	151	0	n	Arthropoda	Insecta	Lepidoptera	Notodontidae	Nystaleinae	NA	Elasmia	NA	80	60
elbella_merops	7	2	9	7	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Pyrginae	NA	Elbella	NA	5	5
elbella_patrobas	0	2	2	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
elbella_patrobasdhj05	1	1	2	0	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Pyrginae	NA	Elbella	NA	1	1
elbella_scylla	39	16	55	33	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Pyrginae	NA	Elbella	NA	35	35
eloria_onaba	35	2	37	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Lymantriinae	NA	Eloria	NA	21	11
eloria_torrida	43	24	67	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Lymantriinae	NA	Eloria	NA	38	37
elymiotis_complicata	23	2	25	0	n	Arthropoda	Insecta	Lepidoptera	Notodontidae	Nystaleinae	NA	Elymiotis	NA	20	17
elymiotis_janzen04	3	3	6	0	n	Arthropoda	Insecta	Lepidoptera	Notodontidae	Nystaleinae	NA	Elymiotis	NA	1	1
elymiotis_longara	77	5	82	0	n	Arthropoda	Insecta	Lepidoptera	Notodontidae	Nystaleinae	NA	Elymiotis	NA	56	36
elymiotis_morana	51	4	55	0	n	Arthropoda	Insecta	Lepidoptera	Notodontidae	Nystaleinae	NA	Elymiotis	NA	37	33
elymiotis_notodontoides	0	1	1	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
elymiotis_purpurascens	20	2	22	0	n	Arthropoda	Insecta	Lepidoptera	Notodontidae	Nystaleinae	NA	Elymiotis	NA	18	17
emesis_aurimna	75	53	128	0	n	Arthropoda	Insecta	Lepidoptera	Riodinidae	Riodininae	NA	Emesis	NA	37	31
emesis_cypria	24	11	35	0	n	Arthropoda	Insecta	Lepidoptera	Riodinidae	Riodininae	NA	Emesis	NA	22	19
emesis_mandana	70	10	80	0	n	Arthropoda	Insecta	Lepidoptera	Riodinidae	Riodininae	NA	Emesis	NA	50	48
emesis_ocypore	44	9	53	0	n	Arthropoda	Insecta	Lepidoptera	Riodinidae	Riodininae	NA	Emesis	NA	37	30
emesis_tegula	14	4	18	0	n	Arthropoda	Insecta	Lepidoptera	Riodinidae	Riodininae	NA	Emesis	NA	2	2
encruphion_leena	4	11	15	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	NA	Encruphion	NA	4	3
enosis_angularis	54	3	57	40	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Hesperiinae	NA	Enosis	NA	48	39
entheus_burns01	81	4	85	57	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Pyrginae	NA	Entheus	NA	78	73
enyo_cavifer	0	2	2	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
enyo_gorgon	22	2	24	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Macroglossinae	Dilophonotini	Enyo	NA	17	17
enyo_lugubris	59	9	68	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Macroglossinae	Dilophonotini	Enyo	NA	55	46
enyo_ocypete	130	591	721	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Macroglossinae	Dilophonotini	Enyo	NA	121	103
eois_biolep26	53	3	56	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Larentiinae	NA	Eois	NA	40	28
eois_dibapha	18	3	21	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Larentiinae	NA	Eois	NA	14	12
eois_janzen04	33	12	45	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Larentiinae	NA	Eois	NA	14	13
eois_janzen14	5	1	6	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Larentiinae	NA	Eois	NA	5	5
eois_janzen15	6	1	7	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Larentiinae	NA	Eois	NA	5	3
